Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,
8/15/2018 12:00,8.6,29.38,48.41,11.76,48.36,,
8/15/2018 12:00,8.65,39.16,56.98,9.77,50.13,,
8/15/2018 12:00,8.7,46.87,65.11,9.54,50.04,,
8/15/2018 12:00,8.75,53.34,73.27,9.87,52.67,,
8/15/2018 12:00,8.8,56.28,73.19,10.92,51.92,,
8/15/2018 12:00,8.85,54.52,67.88,11.34,48.56,,
8/15/2018 12:00,8.9,40.89,51.3,15.02,39.46,,
8/15/2018 12:00,8.95,23.65,37.79,7.87,31.29,,
8/15/2018 12:00,9,10.92,20.26,-1.3,19.68,,
8/15/2018 12:00,9.05,-5.37,-0.14,-2.86,11.57,,
8/15/2018 12:00,9.1,-11.13,-12.58,-8.64,6,,
8/15/2018 12:00,9.15,-12.02,-16.59,-16.29,5.8,,
8/15/2018 12:00,9.2,-11.54,-16.21,-15.83,5.73,,
8/15/2018 12:00,9.25,-11.38,-16.09,-16.91,5.85,,
8/15/2018 12:00,9.3,-11.51,-16.42,-17.85,4.93,,
8/15/2018 12:00,9.35,-11.22,-17.08,-20.07,7.61,,
8/15/2018 12:00,9.4,-11.95,-17.59,-20.4,-0.85,,
8/15/2018 12:00,9.45,-12.53,-17.27,-20.43,-1.52,,
8/15/2018 12:00,9.5,-12.43,-17.38,-20.21,-1.75,,
8/15/2018 12:00,9.55,-12.6,-17.17,-20.37,-1.84,,
8/15/2018 12:00,9.6,-12.57,-16.92,-20.45,-1.78,,
8/15/2018 12:00,9.65,-12.41,-15.38,-20.31,-1.2,,
8/15/2018 12:00,9.7,-12.39,-15.34,-20.54,-1.44,,
8/15/2018 12:00,9.75,-12.39,-15.98,-20.63,-1.79,,
8/15/2018 12:00,9.8,-12.15,-15.28,-20.73,-1.8,,
8/15/2018 12:00,9.85,-12.14,-14.24,-20.81,-1.56,,
8/15/2018 12:00,9.9,-12.27,-14.07,-20.7,-1.37,,
8/15/2018 12:00,9.95,-12.16,-12.91,-20.63,-1.31,,
8/15/2018 12:00,10,-10.46,-10.04,-20.33,-1.29,,
8/15/2018 12:00,10.05,-8.92,-7.38,-12.85,0.59,,
8/15/2018 12:00,10.1,-11.11,-13.94,-12.74,11.94,,
8/15/2018 12:00,10.15,-3.84,1.35,-7.43,0.4,,
8/15/2018 12:00,10.2,4.41,7.89,-2.84,1.02,,
8/15/2018 12:00,10.25,5.96,16.33,9.92,10,,
8/15/2018 12:00,10.3,14.08,24.81,9.43,17.21,,
8/15/2018 12:00,10.35,22.39,34.08,14.27,19.64,,
8/15/2018 12:00,10.4,29.89,41.42,21.36,28.16,,
8/15/2018 12:00,10.45,37.66,49.39,23.84,33.84,,
8/15/2018 12:00,10.5,43.4,55.66,23.5,40.08,,
8/15/2018 12:00,10.55,48.07,61.67,22.66,47.17,,
8/15/2018 12:00,10.6,49.24,65.36,20.59,46.74,,
8/15/2018 12:00,10.65,41.41,62.72,15.82,46.2,,
8/15/2018 12:00,10.7,22.6,55.31,4.63,45.1,,
8/15/2018 12:00,10.75,10.24,37.98,-3.31,36.19,,
8/15/2018 12:00,10.8,2.18,22.99,-5.85,23.31,,
8/15/2018 12:00,10.85,-6.01,10.05,-10.12,18.09,,
8/15/2018 12:00,10.9,-10.47,-5.91,-10.36,12.52,,
8/15/2018 12:00,10.95,-11.65,-15.5,-15.97,11.9,,
8/15/2018 12:00,11,-11.99,-16.01,-19.18,5.79,,
8/15/2018 12:00,11.05,-11.9,-17.42,-20.62,4.65,,
8/15/2018 12:00,11.1,-11.26,-16.91,-19.33,-0.13,,
8/15/2018 12:00,11.15,-11.84,-17.32,-20.65,-1.52,,
8/15/2018 12:00,11.2,-12.07,-17.48,-20.81,-1.55,,
8/15/2018 12:00,11.25,-12.17,-17.32,-20.75,-1.56,,
8/15/2018 12:00,11.3,-12.35,-17.18,-20.67,-1.49,,
8/15/2018 12:00,11.35,-12.44,-17.23,-20.61,-1.52,,
8/15/2018 12:00,11.4,-12.53,-17.16,-20.44,-1.56,,
8/15/2018 12:00,11.45,-12.62,-17,-20.3,-2.62,,
8/15/2018 12:00,11.5,-12.53,-16.04,-20.4,-1.6,,
8/15/2018 12:00,11.55,-12.17,-15.44,-20.55,-1.34,,
8/15/2018 12:00,11.6,-12.08,-14.5,-20.62,-1.28,,
8/15/2018 12:00,11.65,-11.93,-13.25,-20.8,-1.07,,
8/15/2018 12:00,11.7,-11.77,-11.95,-20.99,-1.09,,
8/15/2018 12:00,11.75,-11.57,-10.95,-21.16,-1.08,,
8/15/2018 12:00,11.8,-11.65,-10.68,-21.07,-0.91,,
8/15/2018 12:00,11.85,-11.51,-9.94,-21.12,-0.8,,
