Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 12:10,5.95,-3.95,-11.93,-10.58,-0.23
9/17/2018 12:10,6,-3.76,-11.84,-10.41,-0.57
9/17/2018 12:10,6.05,-3.69,-11.89,-10.43,-0.44
9/17/2018 12:10,6.1,-3.52,-11.93,-10.32,-0.16
9/17/2018 12:10,6.15,-3.41,-11.96,-10.17,-0.13
9/17/2018 12:10,6.2,-3.37,-12.2,-10.17,-0.17
9/17/2018 12:10,6.25,-3.65,-12.15,-10.23,-0.19
9/17/2018 12:10,6.3,-3.86,-12.08,-10.39,-0.24
9/17/2018 12:10,6.35,-3.9,-12.07,-10.64,-0.44
9/17/2018 12:10,6.4,-3.85,-12.07,-10.69,-0.31
9/17/2018 12:10,6.45,-3.74,-11.83,-10.7,-0.22
9/17/2018 12:10,6.5,-3.84,-11.64,-10.6,-0.13
9/17/2018 12:10,6.55,-3.82,-11.75,-10.68,-0.27
9/17/2018 12:10,6.6,-3.67,-11.81,-10.58,-0.1
9/17/2018 12:10,6.65,-3.74,-12.16,-10.56,-0.19
9/17/2018 12:10,6.7,-2.57,-3.93,-10.29,0.06
9/17/2018 12:10,6.75,-2.6,-2.09,-11.99,0.68
9/17/2018 12:10,6.8,-3.06,-3.92,-11.65,1.19
9/17/2018 12:10,6.85,-2.76,0.57,-11.42,1.1
9/17/2018 12:10,6.9,-2.66,1.53,-11.32,1.41
9/17/2018 12:10,6.95,-2.34,5.67,-11.12,1.73
9/17/2018 12:10,7,-2.11,9.89,-11.27,1.83
9/17/2018 12:10,7.05,-1.81,12.05,-11.44,2.11
9/17/2018 12:10,7.1,-1.71,13.1,-11.46,1.93
9/17/2018 12:10,7.15,-2.01,13.1,-11.33,1.87
9/17/2018 12:10,7.2,-2.31,13.45,-11.26,1.99
9/17/2018 12:10,7.25,-3.51,3.58,-11.57,13.7
9/17/2018 12:10,7.3,-3.19,0.66,-9.56,17.04
9/17/2018 12:10,7.35,-2.95,7.04,-11.08,13.59
9/17/2018 12:10,7.4,-0.73,10.05,-1.24,3.31
9/17/2018 12:10,7.45,0.24,5.91,5.05,2.4
9/17/2018 12:10,7.5,-1.96,8.53,6.89,2.96
9/17/2018 12:10,7.55,-2.16,8.23,-1.03,10.94
9/17/2018 12:10,7.6,-2.12,9.09,-0.08,6.9
9/17/2018 12:10,7.65,-2,10.24,2.5,3.05
9/17/2018 12:10,7.7,-1.69,9.35,4.65,2.7
9/17/2018 12:10,7.75,-0.15,8.47,3.68,2.39
9/17/2018 12:10,7.8,2.31,8.38,0.84,1.99
9/17/2018 12:10,7.85,2.59,6.47,0.53,1.69
9/17/2018 12:10,7.9,2.51,5.58,0.77,1.53
9/17/2018 12:10,7.95,3.49,4.57,-0.9,1.26
9/17/2018 12:10,8,4.92,3.03,-1.86,0.89
9/17/2018 12:10,8.05,4.99,1.9,-0.98,0.78
9/17/2018 12:10,8.1,4.82,0.85,-0.92,0.7
9/17/2018 12:10,8.15,3.91,2.5,-3.29,0.65
9/17/2018 12:10,8.2,3.55,3.44,-3.58,0.68
9/17/2018 12:10,8.25,3.12,2.87,-2.05,0.89
9/17/2018 12:10,8.3,3.28,3.69,-3.89,0.88
9/17/2018 12:10,8.35,2.73,5.01,-3.8,1.01
9/17/2018 12:10,8.4,1.47,5.86,-2.73,1.23
9/17/2018 12:10,8.45,0.72,6.34,-0.09,1.62
9/17/2018 12:10,8.5,-0.95,7.89,2.73,2.07
9/17/2018 12:10,8.55,-0.91,9.48,0.77,2.28
9/17/2018 12:10,8.6,-0.25,9.82,-0.39,2.27
9/17/2018 12:10,8.65,-0.8,10.42,1.88,2.62
9/17/2018 12:10,8.7,-1.42,10.47,2.21,4.71
9/17/2018 12:10,8.75,-1.45,9.99,0.81,5.25
9/17/2018 12:10,8.8,-1.06,10.9,0.26,2.83
9/17/2018 12:10,8.85,0.23,9.08,-0.1,2.39
9/17/2018 12:10,8.9,1.53,8.61,-2.29,1.99
9/17/2018 12:10,8.95,1.38,9.08,-4.15,1.77
9/17/2018 12:10,9,0.33,8.59,-2.97,1.88
9/17/2018 12:10,9.05,0.6,6.85,-0.77,1.89
9/17/2018 12:10,9.1,3.18,6.53,-3.45,1.49
9/17/2018 12:10,9.15,2.96,5.83,-1.18,1.64
9/17/2018 12:10,9.2,2.33,5.4,-0.28,1.75
9/17/2018 12:10,9.25,3.13,4.57,-2.16,1.5
9/17/2018 12:10,9.3,4.78,3.45,-0.1,1.55
9/17/2018 12:10,9.35,5.34,0.96,5.06,1.68
9/17/2018 12:10,9.4,6.09,-0.38,7.23,1.78
9/17/2018 12:10,9.45,6.26,-1.31,5.92,1.5
9/17/2018 12:10,9.5,5.12,-2.06,8.29,1.63
9/17/2018 12:10,9.55,5.22,-3.5,8.99,1.44
9/17/2018 12:10,9.6,6.54,-6.05,9.15,1.03
9/17/2018 12:10,9.65,6.78,-9.69,11.56,0.66
9/17/2018 12:10,9.7,7.37,-12.33,10.51,-0.04
9/17/2018 12:10,9.75,4.41,-12.93,6.67,-0.14
9/17/2018 12:10,9.8,2.16,-13.37,-4.11,-1.05
9/17/2018 12:10,9.85,-0.16,-13.2,-8.42,-0.89
